id,title,type,genres,averageRating,numVotes,releaseYear
tt0903747,"Breaking Bad",tvSeries,"Crime, Drama, Thriller",9.5,2222701,2008
tt5491994,"Planet Earth II",tvMiniSeries,Documentary,9.5,161347,2016
tt0185906,"Band of Brothers",tvMiniSeries,"Drama, History, War",9.4,543177,2001
tt0795176,"Planet Earth",tvMiniSeries,"Documentary, Family",9.4,222871,2006
tt5152226,"Tree of Life",tvSeries,Drama,9.4,11663,2014
tt0111161,"The Shawshank Redemption",movie,Drama,9.3,2954554,1994
tt7366338,Chernobyl,tvMiniSeries,"Drama, History, Thriller",9.3,901038,2019
tt0306414,"The Wire",tvSeries,"Crime, Drama, Thriller",9.3,388754,2002
tt0417299,"Avatar: The Last Airbender",tvSeries,"Action, Adventure, Animation",9.3,387280,2005
tt30263074,"Sapne Vs Everyone",tvSeries,Drama,9.3,70756,2023
tt6769208,"Blue Planet II",tvMiniSeries,Documentary,9.3,48161,2017
tt0081846,Cosmos,tvMiniSeries,Documentary,9.3,45192,1980
tt7678620,Bluey,tvSeries,"Animation, Family",9.3,32377,2018
tt9002164,"BB Ki Vines",tvSeries,Comedy,9.3,11249,2015
tt0944947,"Game of Thrones",tvSeries,"Action, Adventure, Drama",9.2,2357147,2011
tt0068646,"The Godfather",movie,"Crime, Drama",9.2,2059785,1972
tt0141842,"The Sopranos",tvSeries,"Crime, Drama",9.2,494533,1999
tt14392248,Aspirants,tvSeries,Drama,9.2,313493,2021
tt12392504,"Scam 1992: The Harshad Mehta Story",tvMiniSeries,"Biography, Crime, Drama",9.2,160153,2020
tt2395695,"Cosmos: A Spacetime Odyssey",tvMiniSeries,Documentary,9.2,130618,2014
tt9253866,"Our Planet",tvSeries,Documentary,9.2,53065,2019
tt9471404,"The Chosen",tvSeries,"Drama, History",9.2,50743,2017
tt0252487,"The Chaos Class",movie,Comedy,9.2,43616,1975
tt4202274,"The Filthy Frank Show",tvSeries,"Comedy, Short",9.2,33569,2011
tt0071075,"The World at War",tvSeries,"Documentary, History, War",9.2,30464,1973
tt0259534,"Ramayana: The Legend of Prince Rama",movie,"Action, Adventure, Animation",9.2,15452,1993
tt9861270,"Çilgin Dersane at the University",tvSeries,Comedy,9.2,11630,2014
tt1475582,Sherlock,tvSeries,"Crime, Drama, Mystery",9.1,1021536,2010
tt2861424,"Rick and Morty",tvSeries,"Adventure, Animation, Comedy",9.1,623830,2013
tt2560140,"Attack on Titan",tvSeries,"Action, Adventure, Animation",9.1,553009,2013
tt1355642,"Fullmetal Alchemist: Brotherhood",tvSeries,"Action, Adventure, Animation",9.1,206741,2009
tt8420184,"The Last Dance",tvMiniSeries,"Biography, Documentary, History",9.1,158286,2020
tt1831164,"Leyla and Mecnun",tvSeries,"Adventure, Comedy, Drama",9.1,97243,2011
tt28227737,"Sandeep Bhaiya",tvSeries,Drama,9.1,75822,2023
tt4742876,"TVF Pitchers",tvSeries,"Comedy, Drama",9.1,73273,2015
tt1533395,Life,tvMiniSeries,Documentary,9.1,43339,2009
tt1877514,"The Vietnam War",tvMiniSeries,"Documentary, History, War",9.1,28812,2017
tt10530900,Gullak,tvSeries,"Comedy, Drama, Family",9.1,24301,2019
tt7450814,Koombiyo,tvSeries,"Crime, Drama, Thriller",9.1,18024,2017
tt9471962,Halka,tvSeries,"Action, Crime, Drama",9.1,17852,2019
tt4834232,"Critical Role",tvSeries,"Adventure, Fantasy",9.1,13484,2015
tt13854248,"The Legend of Hanuman",tvSeries,"Action, Adventure, Animation",9.1,12781,2021
tt16747572,"The Silence of Swastika",movie,"Documentary, History",9.1,10569,2021
tt7923710,"My Mister",tvSeries,"Drama, Family",9.1,10420,2018
tt0468569,"The Dark Knight",movie,"Action, Crime, Drama",9,2936136,2008
tt0167260,"The Lord of the Rings: The Return of the King",movie,"Action, Adventure, Drama",9,2022805,2003
tt0108052,"Schindler's List",movie,"Biography, Drama, History",9,1482083,1993
tt0071562,"The Godfather Part II",movie,"Crime, Drama",9,1391746,1974
tt0050083,"12 Angry Men",movie,"Crime, Drama",9,889596,1957
tt0386676,"The Office",tvSeries,Comedy,9,741621,2005
tt3032476,"Better Call Saul",tvSeries,"Crime, Drama",9,684501,2015
tt11126994,Arcane,tvSeries,"Action, Adventure, Animation",9,291770,2021
tt0388629,"One Piece",tvSeries,"Action, Adventure, Animation",9,264148,1999
tt2098220,"Hunter x Hunter",tvSeries,"Action, Adventure, Animation",9,146480,2011
tt0103359,"Batman: The Animated Series",tvSeries,"Action, Adventure, Animation",9,121218,1992
tt12004706,Panchayat,tvSeries,"Comedy, Drama",9,97679,2020
tt0052520,"The Twilight Zone",tvSeries,"Drama, Fantasy, Horror",9,96147,1959
tt9432978,"Kota Factory",tvSeries,"Comedy, Drama",9,85352,2019
tt10541088,"Clarkson's Farm",tvSeries,"Comedy, Documentary, Reality-TV",9,65321,2021
tt0081912,"Only Fools and Horses",tvSeries,Comedy,9,57835,1981
tt7920978,Persona,tvSeries,"Crime, Drama, Mystery",9,48594,2018
tt21279678,"NCR Days",tvSeries,Drama,9,43883,2022
tt14986406,"Bleach: Thousand-Year Blood War",tvSeries,"Action, Adventure, Animation",9,43710,2022
tt0296310,"The Blue Planet",tvSeries,Documentary,9,43401,2001
tt2092588,"Frozen Planet",tvMiniSeries,Documentary,9,33486,2011
tt1806234,"Human Planet",tvMiniSeries,Documentary,9,28096,2011
tt8595766,"Yeh Meri Family",tvSeries,"Comedy, Drama, Family",9,26256,2018
tt0268093,Ramayan,tvSeries,"Adventure, Drama, Family",9,24626,1987
tt13675832,"As If",tvSeries,Comedy,9,24419,2021
tt4934214,Taskmaster,tvSeries,"Comedy, Game-Show",9,21323,2015
tt0098769,"The Civil War",tvMiniSeries,"Documentary, History, War",9,19095,1990
tt1508238,"Apocalypse: The Second World War",tvMiniSeries,"Documentary, History, War",9,14658,2009
tt5182866,"Reply 1988",tvSeries,"Comedy, Drama, Family",9,13258,2015
tt3212600,Mahabharat,tvSeries,"Drama, History, War",9,12112,2013
tt0110912,"Pulp Fiction",movie,"Crime, Drama",8.9,2269045,1994
tt0120737,"The Lord of the Rings: The Fellowship of the Ring",movie,"Action, Adventure, Drama",8.9,2052548,2001
tt0108778,Friends,tvSeries,"Comedy, Romance",8.9,1113175,1994
tt2356777,"True Detective",tvSeries,"Crime, Drama, Mystery",8.9,674266,2014
tt2802850,Fargo,tvSeries,"Crime, Drama, Thriller",8.9,431543,2014
tt0877057,"Death Note",tvSeries,"Animation, Crime, Drama",8.9,397593,2006
tt0098904,Seinfeld,tvSeries,Comedy,8.9,359177,1989
tt0303461,Firefly,tvSeries,"Adventure, Drama, Sci-Fi",8.9,285358,2002
tt1865718,"Gravity Falls",tvSeries,"Adventure, Animation, Comedy",8.9,144954,2012
tt0213338,"Cowboy Bebop",tvSeries,"Action, Adventure, Animation",8.9,144924,1998
tt0200276,"The West Wing",tvSeries,Drama,8.9,87815,1999
tt2297757,"Nathan for You",tvSeries,"Comedy, Documentary",8.9,40177,2013
tt5354160,"Mirror Game",movie,"Crime, Mystery, Thriller",8.9,30074,2016
tt9735318,"The Beatles: Get Back",tvMiniSeries,"Biography, Documentary, Music",8.9,29283,2021
tt0092337,Dekalog,tvMiniSeries,Drama,8.9,28457,1989
tt1909015,Undercover,tvSeries,"Action, Crime, Drama",8.9,27805,2011
tt22248376,"Frieren: Beyond Journey's End",tvSeries,"Adventure, Animation, Drama",8.9,25090,2023
tt0253828,"Tosun Pasha",movie,"Comedy, History",8.9,25020,1976
tt0252488,"The Chaos Class Failed the Class",movie,Comedy,8.9,25008,1975
tt0158417,Mahabharat,tvSeries,"Action, Adventure, Drama",8.9,23961,1988
tt5275892,"O.J.: Made in America",movie,"Biography, Crime, Documentary",8.9,22635,2016
tt13868972,"Rocket Boys",tvSeries,"Drama, History",8.9,18455,2022
tt1518542,"Sarabhai V/S Sarabhai",tvSeries,Comedy,8.9,18434,2004
tt2571774,Africa,tvMiniSeries,Documentary,8.9,17377,2013
tt0075143,"The Message",movie,"Action, Adventure, Biography",8.9,10976,1976
tt5851616,"Tash ma Tash",tvSeries,"Comedy, Drama",8.9,10705,1992
tt11992526,Harga,tvSeries,Drama,8.9,10016,2021
tt1375666,Inception,movie,"Action, Adventure, Sci-Fi",8.8,2605707,2010
tt0137523,"Fight Club",movie,Drama,8.8,2386777,1999
tt0109830,"Forrest Gump",movie,"Drama, Romance",8.8,2311997,1994
tt0167261,"The Lord of the Rings: The Two Towers",movie,"Action, Adventure, Drama",8.8,1823729,2002
tt0060196,"The Good, the Bad and the Ugly",movie,"Adventure, Drama, Western",8.8,827944,1966
tt2442560,"Peaky Blinders",tvSeries,"Crime, Drama",8.8,678046,2013
tt10986410,"Ted Lasso",tvSeries,"Comedy, Drama, Sport",8.8,370020,2020
tt7660850,Succession,tvSeries,"Comedy, Drama",8.8,292529,2018
tt0472954,"It's Always Sunny in Philadelphia",tvSeries,Comedy,8.8,257859,2005
tt0098936,"Twin Peaks",tvSeries,"Crime, Drama, Mystery",8.8,220440,1990
tt3398228,"BoJack Horseman",tvSeries,"Animation, Comedy, Drama",8.8,198013,2014
tt0193676,"Freaks and Geeks",tvSeries,"Comedy, Drama",8.8,155632,1999
tt0214341,"Dragon Ball Z",tvSeries,"Action, Adventure, Animation",8.8,153322,1996
tt0264235,"Curb Your Enthusiasm",tvSeries,Comedy,8.8,151487,2000
tt7137906,"When They See Us",tvMiniSeries,"Biography, Crime, Drama",8.8,141933,2019
tt23849204,"12th Fail",movie,"Biography, Drama",8.8,132003,2023
tt14650074,Dhindora,tvSeries,"Comedy, Drama",8.8,123048,2021
tt0072500,"Fawlty Towers",tvSeries,Comedy,8.8,101688,1975
